id,imdb_id,title,tagline,overview,poster_path,backdrop_path,release_date,vote_average,vote_count,genres,budget,revenue,runtime,rating_band
121856,tt2094766,Assassin's Creed,Your destiny is in your blood.,"Through a technology that unlocks the genetic memories of his ancestor in 15th century Spain, Callum Lynch discovers he is a descendant of an ancient line of Assassins and amasses lethal skills to take on the oppressive Templar Order.",/kDXewoEcvbn0pUvJ8W3vfkuWgHw.jpg,/e29oMyfzzlWbhRlCBrzmZhlsw2m.jpg,2016-12-21,5.433,8075,"['Action', 'Adventure', 'Science Fiction']",125000000,240700000,116,low
44912,tt1133985,Green Lantern,In brightest day. In blackest night.,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",/fj21HwUprqjjwTdkKC1XZurRSpV.jpg,/tS3ByIQR6V61DaWhEIFbLSuLK5Q.jpg,2011-06-14,5.181,7603,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",200000000,219851172,114,low
76757,tt1617661,Jupiter Ascending,Expand your universe.,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",/2NCcAZ3M3F0FxENYmammBknwpVn.jpg,/w4hk4QG05nDuSgimpa7XAM6OyPX.jpg,2015-02-04,5.46,7057,"['Science Fiction', 'Fantasy', 'Action']",176000000,184000000,127,low
82700,tt1815862,After Earth,"Danger is real, fear is a choice.","One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",/iXMvYIlzzJBs352CfeiQcBvovZt.jpg,/pfCp6OmgJW9YzqPRhCD7ItFSicb.jpg,2013-05-30,5.176,6827,"['Science Fiction', 'Action', 'Adventure']",130000000,243843127,100,low
43074,tt1289401,Ghostbusters,Answer the call.,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg,/3RWsSQlqzRjsuqSRmoyggy74UA7.jpg,2016-07-14,5.346,6748,"['Action', 'Fantasy', 'Comedy']",144000000,229147509,117,low
47964,tt1606378,A Good Day to Die Hard,Yippee Ki-Yay Mother Russia.,"Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",/qJ0csDXAVFMsNn0cRcjy6W6PxAK.jpg,/wFUkS5cnMf3I8ysIPWzIXpTsuR7.jpg,2013-02-06,5.334,6712,"['Action', 'Thriller']",92000000,304654182,98,low
47933,tt1628841,Independence Day: Resurgence,We had twenty years to prepare. So did they.,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",/9S50foUIYGwiNPWOxi1WJF6IPwI.jpg,/auT0H5fFUnPKjHNj0OkQMkxdbl2.jpg,2016-06-22,5.355,6404,"['Action', 'Adventure', 'Science Fiction']",165000000,389681935,120,low
9480,tt0287978,Daredevil,"When the streets have gone to Hell, have faith in the devil.",A man blinded in a childhood accident fights crime using his superhumanly-elevated remaining senses.,/oCDBwSkntYamuw8VJIxMRCtDBmi.jpg,/e7jIX02GiSwsgkU5lMpeKjwq2Zc.jpg,2003-02-14,5.291,5419,"['Fantasy', 'Action']",78000000,179179718,103,low
10196,tt0938283,The Last Airbender,"Four nations, one destiny.","A century has passed since the Fire Nation declared war on the other three nations of air, water, and earth in its attempt for global domination. Aang, the long-lost Avatar, is found by Water Tribe siblings Katara and Sokka and must learn to master water, earth, and fire bending to defeat the Fire Nation and restore balance to the world.",/kl9JJ8288bNsY8oqT1SpQh1w2mb.jpg,/gU5cR9LKtDD8YvzE7T7GvmzCEAA.jpg,2010-06-30,4.646,4230,"['Action', 'Adventure', 'Fantasy']",150000000,319713881,103,low
225886,tt1956620,Sex Tape,A movie about a movie they don't want you to see.,"When Jay and Annie first got together, their romantic connection was intense – but ten years and two kids later, the flame of their love needs a spark.  To kick things up a notch, they decide – why not? – to make a video of themselves trying out every position in The Joy of Sex in one marathon three-hour session.  It seems like a great idea – until they discover that their most private video is no longer private.  With their reputations on the line, they know they’re just one click away from being laid bare to the world... but as their race to reclaim their video leads to a night they'll never forget, they'll find that their video will expose even more than they bargained for.",/pFdS7SIdjcrYXtf141dabWVly9B.jpg,/nFCUBRDF4C6RWopNo0nAfvMA6mm.jpg,2014-07-17,5.408,4201,['Comedy'],40000000,126069509,94,low
