id,imdb_id,title,tagline,overview,poster_path,backdrop_path,release_date,vote_average,vote_count,genres,budget,revenue,runtime
278,tt0111161,The Shawshank Redemption,Fear can hold you prisoner. Hope can set you free.,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,1994-09-23,8.712,29275,"['Drama', 'Crime']",25000000,28341469,142
238,tt0068646,The Godfather,An offer you can't refuse.,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,1972-03-14,8.685,22097,"['Drama', 'Crime']",6000000,245066411,175
240,tt0071562,The Godfather Part II,The rise and fall of the Corleone empire.,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",/ecBRkXerAZqRRUfR8Lt3L3Dh6J5.jpg,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,1974-12-20,8.57,13358,"['Drama', 'Crime']",13000000,102600000,202
424,tt0108052,Schindler's List,"Whoever saves one life, saves the world entire.",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,1993-12-15,8.566,16879,"['Drama', 'History', 'War']",22000000,321365567,195
389,tt0050083,12 Angry Men,It explodes like 12 sticks of dynamite!,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,/w4bTBXcqXc2TUyS5Fc4h67uWbPn.jpg,1957-04-10,8.549,9548,['Drama'],397751,4360000,97
129,tt0245429,Spirited Away,On the other side of the tunnel was a mysterious town.,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,/ukfI9QkU1aIhOhKXYWE9n3z1mFR.jpg,2001-07-20,8.535,17659,"['Animation', 'Family', 'Fantasy']",19000000,274925095,125
155,tt0468569,The Dark Knight,Welcome to a world without rules.,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",/qJ2tW6WMUDux911r6m7haRef0WH.jpg,/dqK9Hag1054tghRQSqLSfrkvQnA.jpg,2008-07-16,8.525,34747,"['Drama', 'Action', 'Crime', 'Thriller']",185000000,1004558444,152
19404,tt0112870,Dilwale Dulhania Le Jayenge,"Come… Fall In love, All Over Again…","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,/zQDFHYNVVVp9OAYSixYAG1SyX1l.jpg,1995-10-20,8.5,4519,"['Comedy', 'Drama', 'Romance']",13200000,100000000,190
497,tt0120689,The Green Mile,Paul Edgecomb didn't believe in miracles. Until the day he met one.,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",/o0lO84GI7qrG6XFvtsPOSV7CTNa.jpg,/b6HWTOxn1xevvyHU2K9ICvaRU6g.jpg,1999-12-10,8.503,18567,"['Fantasy', 'Drama', 'Crime']",60000000,286801374,189
496243,tt6751668,Parasite,Act like you own the place.,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,2019-05-30,8.496,19742,"['Comedy', 'Thriller', 'Drama']",11363000,257591776,133
